,Mode,,Frequency,,Isotopologue
MODE,18,FREQUENCY=,52.93753,(CM**-1),CHHDH
MODE,19,FREQUENCY=,54.45421,(CM**-1),CHHDH
MODE,20,FREQUENCY=,57.008,(CM**-1),CHHDH
MODE,21,FREQUENCY=,61.08103,(CM**-1),CHHDH
MODE,22,FREQUENCY=,63.26497,(CM**-1),CHHDH
MODE,23,FREQUENCY=,69.52146,(CM**-1),CHHDH
MODE,24,FREQUENCY=,76.45584,(CM**-1),CHHDH
MODE,25,FREQUENCY=,81.81743,(CM**-1),CHHDH
MODE,26,FREQUENCY=,84.38789,(CM**-1),CHHDH
MODE,27,FREQUENCY=,89.34324,(CM**-1),CHHDH
MODE,28,FREQUENCY=,99.13387,(CM**-1),CHHDH
MODE,29,FREQUENCY=,109.77638,(CM**-1),CHHDH
MODE,30,FREQUENCY=,110.52225,(CM**-1),CHHDH
MODE,31,FREQUENCY=,115.60694,(CM**-1),CHHDH
MODE,32,FREQUENCY=,124.73678,(CM**-1),CHHDH
MODE,33,FREQUENCY=,128.03858,(CM**-1),CHHDH
MODE,34,FREQUENCY=,134.79607,(CM**-1),CHHDH
MODE,35,FREQUENCY=,138.45684,(CM**-1),CHHDH
MODE,36,FREQUENCY=,140.55131,(CM**-1),CHHDH
MODE,37,FREQUENCY=,141.85519,(CM**-1),CHHDH
MODE,38,FREQUENCY=,147.623,(CM**-1),CHHDH
MODE,39,FREQUENCY=,155.53823,(CM**-1),CHHDH
MODE,40,FREQUENCY=,156.80492,(CM**-1),CHHDH
MODE,41,FREQUENCY=,163.10079,(CM**-1),CHHDH
