,Mode,,Frequency,,Isotopologue
MODE,165,FREQUENCY=,1737.27922,(CM**-1),CHHHD
MODE,166,FREQUENCY=,3059.05853,(CM**-1),CHHHD
MODE,167,FREQUENCY=,3061.36367,(CM**-1),CHHHD
MODE,168,FREQUENCY=,3062.11031,(CM**-1),CHHHD
MODE,169,FREQUENCY=,3066.27365,(CM**-1),CHHHD
MODE,170,FREQUENCY=,3066.45701,(CM**-1),CHHHD
MODE,171,FREQUENCY=,3066.94659,(CM**-1),CHHHD
MODE,172,FREQUENCY=,3091.75283,(CM**-1),CHHHD
MODE,173,FREQUENCY=,3120.82258,(CM**-1),CHHHD
MODE,174,FREQUENCY=,3126.70959,(CM**-1),CHHHD
MODE,175,FREQUENCY=,3129.26882,(CM**-1),CHHHD
MODE,176,FREQUENCY=,3132.43937,(CM**-1),CHHHD
MODE,177,FREQUENCY=,3135.13210,(CM**-1),CHHHD
MODE,178,FREQUENCY=,3135.97698,(CM**-1),CHHHD
MODE,179,FREQUENCY=,3139.60685,(CM**-1),CHHHD
MODE,180,FREQUENCY=,3152.26755,(CM**-1),CHHHD
MODE,181,FREQUENCY=,3163.19945,(CM**-1),CHHHD
MODE,182,FREQUENCY=,3168.64651,(CM**-1),CHHHD
MODE,183,FREQUENCY=,3168.85909,(CM**-1),CHHHD
MODE,184,FREQUENCY=,3172.82051,(CM**-1),CHHHD
MODE,185,FREQUENCY=,3204.42892,(CM**-1),CHHHD
MODE,186,FREQUENCY=,3219.24866,(CM**-1),CHHHD
MODE,187,FREQUENCY=,3236.50169,(CM**-1),CHHHD
MODE,188,FREQUENCY=,3279.38947,(CM**-1),CHHHD
MODE,189,FREQUENCY=,3298.61061,(CM**-1),CHHHD
MODE,190,FREQUENCY=,3299.58558,(CM**-1),CHHHD
MODE,191,FREQUENCY=,3314.43900,(CM**-1),CHHHD
MODE,192,FREQUENCY=,3389.84331,(CM**-1),CHHHD
MODE,193,FREQUENCY=,3659.80878,(CM**-1),CHHHD
MODE,194,FREQUENCY=,3662.88137,(CM**-1),CHHHD
MODE,195,FREQUENCY=,3696.79551,(CM**-1),CHHHD
12-1-1-2-1,,,,,
MODE,1,FREQUENCY=,-1153.81014,(CM**-1),CHHDH
MODE,8,FREQUENCY=,23.82566,(CM**-1),CHHDH
MODE,9,FREQUENCY=,31.86153,(CM**-1),CHHDH
MODE,10,FREQUENCY=,32.90097,(CM**-1),CHHDH
MODE,11,FREQUENCY=,36.18903,(CM**-1),CHHDH
MODE,12,FREQUENCY=,42.80594,(CM**-1),CHHDH
MODE,13,FREQUENCY=,46.16775,(CM**-1),CHHDH
MODE,14,FREQUENCY=,49.54080,(CM**-1),CHHDH
MODE,15,FREQUENCY=,51.83175,(CM**-1),CHHDH
MODE,16,FREQUENCY=,53.48769,(CM**-1),CHHDH
MODE,17,FREQUENCY=,58.94953,(CM**-1),CHHDH
MODE,18,FREQUENCY=,64.86291,(CM**-1),CHHDH
MODE,19,FREQUENCY=,67.48699,(CM**-1),CHHDH
MODE,20,FREQUENCY=,74.61767,(CM**-1),CHHDH
MODE,21,FREQUENCY=,76.32627,(CM**-1),CHHDH
MODE,22,FREQUENCY=,83.02391,(CM**-1),CHHDH
MODE,23,FREQUENCY=,84.22076,(CM**-1),CHHDH
MODE,24,FREQUENCY=,89.07780,(CM**-1),CHHDH
MODE,25,FREQUENCY=,96.73458,(CM**-1),CHHDH
MODE,26,FREQUENCY=,99.44369,(CM**-1),CHHDH
MODE,27,FREQUENCY=,105.98986,(CM**-1),CHHDH
MODE,28,FREQUENCY=,111.75214,(CM**-1),CHHDH
MODE,29,FREQUENCY=,113.65101,(CM**-1),CHHDH
MODE,30,FREQUENCY=,115.66706,(CM**-1),CHHDH
MODE,31,FREQUENCY=,121.89688,(CM**-1),CHHDH
MODE,32,FREQUENCY=,124.55454,(CM**-1),CHHDH
MODE,33,FREQUENCY=,127.30679,(CM**-1),CHHDH
MODE,34,FREQUENCY=,137.34990,(CM**-1),CHHDH
MODE,35,FREQUENCY=,138.52747,(CM**-1),CHHDH
MODE,36,FREQUENCY=,148.44726,(CM**-1),CHHDH
MODE,37,FREQUENCY=,153.33981,(CM**-1),CHHDH
MODE,38,FREQUENCY=,157.07516,(CM**-1),CHHDH
MODE,39,FREQUENCY=,160.25854,(CM**-1),CHHDH
MODE,40,FREQUENCY=,165.03172,(CM**-1),CHHDH
MODE,41,FREQUENCY=,168.56499,(CM**-1),CHHDH
